"Path","Lines","Modified","KB"
"next.config.js","12","2026-04-27","0.2"
"next-env.d.ts","6","2026-05-07","0.2"
"package.json","48","2026-06-07","1.3"
"package-lock.json","9671","2026-06-07","326"
"payload\CC-CONTRACTS-COVER-2026-07-24.md","53","2026-07-25","4.3"
"payload\CC-TICKET-FOCAL-POINT-2026-07-24.md","89","2026-07-25","3.2"
"payload\CREDITS-AND-CODES-SPEC-v4.md","136","2026-07-25","7.6"
"payload\MASTHEAD-DIRECTIVE-v1.md","183","2026-07-25","7.1"
"payload\PORTRAITS-HOOK-CONTRACT-v1.md","199","2026-07-25","7.4"
"payload\PRINTSHOP-HOOK-CONTRACT-v3.md","168","2026-07-25","7"
"pet-source-pool\pet-pool-manifest.json","262","2026-07-09","20.7"
"portrait-batch\manifest.json","602","2026-06-12","41.8"
"portraits-multiface-test.ps1","144","2026-07-09","11.9"
"postcss.config.mjs","7","2026-03-18","0.1"
"preview-matrix\manifest.json","1718","2026-06-13","45.3"
"preview-sources\manifest.json","242","2026-06-12","26.2"
"Prototype Files\claude-code-handoff-portraits-solo-v1.md","175","2026-07-10","8.5"
"Prototype Files\groups-proto.html","462","2026-07-11","26.4"
"Prototype Files\houses-proto.html","527","2026-07-10","28.9"
"Prototype Files\landscapes-proto.html","428","2026-07-10","24.6"
"Prototype Files\pets-proto.html","517","2026-07-10","28.5"
"Prototype Files\portraits-proto.html","407","2026-07-10","24.2"
"public\actionmini - Copy.html","1048","2026-05-06","47.4"
"public\actionmini.html","2265","2026-07-19","69.2"
"public\assets\portraits\engine-regions.css","4372","2026-07-11","200.7"
"public\assets\portraits\integration.css","124","2026-07-11","7.8"
"public\assets\portraits\portraits.css","107","2026-07-10","8.4"
"public\assets\portraits\portraits.js","159","2026-07-11","10"
"public\assets\shared\deckle.js","31","2026-07-10","1.6"
"public\assets\shared\shell.css","66","2026-07-11","4.4"
"public\assets\shared\shell.js","18","2026-07-11","0.8"
"public\face-api-models\ssd_mobilenetv1_model-shard1","602","2026-04-22","4096"
"public\face-api-models\ssd_mobilenetv1_model-shard2","329","2026-04-22","1389.3"
"public\face-api-models\ssd_mobilenetv1_model-weights_manifest.json","1","2026-04-22","25.9"
"public\groups.html","463","2026-07-11","26.5"
"public\groups-testbench.html","285","2026-07-11","14.5"
"public\homepage\hero\hero-sets.json","62","2026-07-08","1.7"
"public\houses.html","4068","2026-06-07","119.7"
"public\index.html","552","2026-07-08","38.7"
"public\interiors.html","122","2026-05-06","12"
"public\js\shared-uploader.js","167","2026-05-06","6.1"
"public\landscapes.html","2229","2026-05-07","78.8"
"public\litenco-account-2026-07-24-r7.html","347","2026-07-25","526.8"
"public\litenco-masthead-2026-07-24-r2.html","285","2026-07-25","12.7"
"public\litenco-portraits-2026-07-24-r80d.html","1851","2026-07-25","129.2"
"public\litenco-printshop-2026-07-24-r28.html","1693","2026-07-25","2402.7"
"public\litenco-tokens.css","29","2026-07-23","1.8"
"public\liten-prompt-bench-v3.html","273","2026-07-18","169.6"
"public\pets.html","5938","2026-07-09","195.9"
"public\pet-wallpaper.html","482","2026-07-11","29.4"
"public\portraits.css","514","2026-07-23","50.7"
"public\portraits.html","2118","2026-07-26","144"
"public\portraits.next.html","10065","2026-07-25","444.6"
"public\portraits.ui.js","139","2026-07-23","8.6"
"public\portraits.wizard.js","681","2026-07-23","41.2"
"public\portraits-proto.html","923","2026-06-22","35.3"
"public\portrait-wallpaper.html","485","2026-07-11","29.6"
"public\print-config.html","435","2026-05-30","11.1"
"public\sportsmem.html","370","2026-05-06","14.4"
"public\test.html","506","2026-05-06","37.3"
"README.md","36","2026-03-18","1.4"
"scripts\bake-pet-preview-grid.mjs","291","2026-07-09","11.7"
"scripts\bake-preview-grid.mjs","288","2026-07-06","11.7"
"scripts\bake-previews-local.mjs","178","2026-06-13","6.4"
"scripts\boot-test.js","71","2026-07-23","3.7"
"scripts\debug-one.sh","24","2026-05-05","0.8"
"scripts\dev-db-probe.mjs","64","2026-04-29","2.5"
"scripts\generate-multiface-pool.mjs","244","2026-07-09","11.9"
"scripts\generate-pet-source-pool.mjs","272","2026-07-09","10.4"
"scripts\generate-portrait-batch.mjs","236","2026-06-12","8.1"
"scripts\generate-preview-sources.mjs","234","2026-06-12","8.6"
"scripts\generate-source-pool.mjs","350","2026-07-05","13.5"
"scripts\new-pr.ps1","44","2026-06-12","1.3"
"scripts\probe-generate.mjs","41","2026-07-10","1.6"
"scripts\render-preview-matrix.mjs","309","2026-06-13","10.5"
"scripts\run-multiface-pilot.mjs","163","2026-07-10","7.7"
"scripts\scan-orphans.sh","97","2026-05-05","3"
"scripts\test-asset-pipeline.ts","111","2026-05-13","4.1"
"scripts\test-prodigi.ts","191","2026-05-13","7.1"
"scripts\test-targeting.mjs","116","2026-07-10","4.9"
"seam-tracker.md","213","2026-06-23","9.3"
"source-control-spec-v1.md","173","2026-06-24","9.1"
"source-pool\pool-manifest.json","1354","2026-07-05","136.8"
"source-pool-multiface\multiface-manifest.json","290","2026-07-10","12.4"
"stripe.exe","238324","2026-05-13","26895.5"
"supabase\.temp\cli-latest","1","2026-07-02","0"
"supabase\.temp\gotrue-version","1","2026-07-02","0"
"supabase\.temp\linked-project.json","1","2026-07-02","0.1"
"supabase\.temp\pooler-url","1","2026-07-02","0.1"
"supabase\.temp\postgres-version","1","2026-07-02","0"
"supabase\.temp\project-ref","1","2026-07-02","0"
"supabase\.temp\rest-version","1","2026-07-02","0"
"supabase\.temp\storage-migration","1","2026-07-02","0"
"supabase\.temp\storage-version","1","2026-07-02","0"
